;;;;;;;1º CICLO;;;;;;;;;;;;;;;;;;
EIXO;OBJETIVO;META;COD DA ACAO;AÇÃO;ENVOLVIDOS;PRAZO FINAL;Status da ação ;Detalhamento do que foi realizado - se possivel fazer uma descrição incluindo dados numéricos;Dificuldades encontradas/ Sugestões;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 10 ;Ação 10 - Avaliar a viabilidade técnica, regulatória e financeira da UFSC adquirir energia elétrica do mercado livre de energia;CPGE;2029;Em andamento;Durante o processo de renovação do contrato de energia da UFSC (23080.050251/2024-73) foi avaliada a possibilidade de migração ao mercado livre de energia. Se mostrou inicialmente não recomendável devido à falta de previsibilidade de orçamento na Instituição, resultando em risco de multas contratuais e possiveis interrupções no fornecimento. A situação será avaliada com mais profundidade futuramente.;"Falta de previsibilidade orçamentária dificulta/impede a migração.
São necessárias adequações físicas da infraestrutura.
";;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 11 ;Ação 11 - Realizar retrofit no sistema de iluminaçaõ dos edifícios.;DMPI;2029;Não iniciado;;Esta demanda não compete ao Departamento de Manutenção, pois projetos de retrofit devem ser elaborados pelo Departamento de Projetos.;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 12 ;Ação 12 - Substituição de equipamentos por modelos mais eficientes no consumo de energia, com especial atenção para refrigeradores/freezers, aparelhos de ar condicionado e equipamentos de laboratório (ex.: destiladores de água).;DCOM;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 13 ;Ação 13 - Estabelecer critérios técnicos para compra e instalação de aparelhos de ar-condicionado.;DCOM;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 14 ;Ação 14 - Realizar ações de educação ambiental  para evitar o desperdício na utilização de energia elétrica nos Campi.                               ;CGA;2029;Em andamento;Foram realizadas duas postagesn no instagram do UFSC sustentavel e um post no site;;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 15 ;Ação 15 - Executar manutenções preventivas e preditivas dos equipamentos, de forma a evitar o aumento do consumo de energia elétrica.;DMPI;2029;Em andamento;Manutenção preventiva e corretiva de Centrais de Ar condicionado  - Contrato 210/2025 - Processo 23080.007855/2024-08. Catalogação de AC  - Contrato 175/2024 - 23080.006573/2024-85 -  Manutenção AC campi - Processo 23080.053065/2024-96.;https://drive.google.com/drive/folders/1JywnmMacAp6oq5AOM_5Hw9uormnjC4wh?usp=sharing;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 16 ;Ação 16 - Realizar as manutenções periódicas dos quadros de distribuição de energia elétrica.;DMPI;2029;Em andamento;Realizado através do Contrato 122/2021 - Processo 23080.052140/2019-34;https://drive.google.com/drive/folders/1JywnmMacAp6oq5AOM_5Hw9uormnjC4wh?usp=sharing;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 17 ;Ação 17 - Revisão das rotinas de trabalho das empresas terceirizadas prestadoras de serviço de limpeza com vistas a orientar sobre uso racional de água, energia e produtos químicos.;DPC;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 18 ;Ação 18 - Realizar a manutenção periódica de coberturas verdes.;PU;2029;Em andamento;;;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 19 ;Ação 19 - Promover anualmente capacitações para no mínimo 40 servidores abordando a temática da redução do consumo de energia elétrica.;CGA;2029;Concluído;Realizada capacitação com 25 servidores da UFSC em 2025 e com mais 20 em 2026;Poucos participantes interessados na temática;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;"Meta 2 – Adequar 3 subestações de energia para que tenham 
condições adequadas de segurança, manutenção e medição "; 20 ;AÇÃO 20 - Elaborar o Plano de Adequação de sistemas eletricos de média tensão;DMPI;2029;Concluído;SPA 002164/2020 - SPA 014853/2022 - SPA 074760/2022;O levantamento das adequações foi encaminhado para o DPAE para elaboração de projetos;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;"Meta 2 – Adequar 3 subestações de energia para que tenham 
condições adequadas de segurança, manutenção e medição "; 21 ;Ação 21 - Adequar 67% das infraestruturas (civil e eletrica) das subestações;PU;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;"Meta 2 – Adequar 3 subestações de energia para que tenham 
condições adequadas de segurança, manutenção e medição "; 22 ;AÇÃO 22 -Realizar, através de podas, manutenção periódica das árvores que prejudicam a fiação no entorno das substações de modo a precisar menos de 4 podas corretivas anuais.;DMPI;2029;Concluído;Realizado através do Contrato 53/2023 - Processo 23080.057884/2022-41;https://drive.google.com/drive/folders/1JywnmMacAp6oq5AOM_5Hw9uormnjC4wh?usp=sharing;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;"Meta 2 – Adequar 3 subestações de energia para que tenham 
condições adequadas de segurança, manutenção e medição "; 23 ;AÇÃO 23 -Realizar manutenção preventiva das subestações em conformidade com a legislação vigente.;DMPI;2029;Concluído;Realizado através do Contrato 53/2023 - Processo 23080.057884/2022-41;https://drive.google.com/drive/folders/1JywnmMacAp6oq5AOM_5Hw9uormnjC4wh?usp=sharing;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;"Meta 3 – Possuir 80% do parque fotovoltaico instalado em pleno 
funcionamento "; 24 ;Ação 24 - Operacionalizar os sistemas fotovoltaicos instalados;PU;2029;Em andamento;;;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;"Meta 3 – Possuir 80% do parque fotovoltaico instalado em pleno 
funcionamento "; 25 ;Ação 25 - Substituir relés de proteção em substações;PU;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;"Meta 3 – Possuir 80% do parque fotovoltaico instalado em pleno 
funcionamento "; 26 ;Ação 26 - Criar contrato de manutenção dos sistemas fotovoltaicos;DMPI;2029;Não iniciado;Conversas preliminares sobre o assunto, sem nenhuma definição do tipo de contratação, uma vez que grande parte dos sistemas ainda não está interligada à rede de alimentação da UFSC.;;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;"Meta 3 – Possuir 80% do parque fotovoltaico instalado em pleno 
funcionamento "; 27 ;Ação 27 - Aprimorar o banco de dados dos sistemas fotovoltaicos da UFSC;DPAE;2029;Em andamento;Tem sido realizado o levantamento dos sistemas instalados, bem como sua integração aos sistemas de monitoramento em tempo real.;Ausência de registros sistematizados dos projetos dos sistemas fotovoltaicos.;;;;;;;;;;;;;;;;
Agua;Objetivo 2: Reduzir o consumo de água da UFSC;"Meta 4 – Reduzir em 5% o consumo per capita médio diário entre 2025 e 
2029 em comparação ao consumo per capita de 2024 "; 28 ;Ação 28 - Monitorar e disponibilizar mensalmente os dados de consumo para toda a comunidade universitária;CGA;2025;Em andamento;É atividade regular;;;;;;;;;;;;;;;;;
Agua;Objetivo 2: Reduzir o consumo de água da UFSC;"Meta 4 – Reduzir em 5% o consumo per capita médio diário entre 2025 e 
2029 em comparação ao consumo per capita de 2024 "; 29 ;Ação 29 - Expandir canais e campanha de comunicação de vazamentos de água em todos os Campi.;CGA;2025;Não iniciado;"DGA: Tratativas de expansão de canais de comunicação com os campi não foram realizadas pela DGA. A DGA disponibilizou de forma online planilha com situação de atendimento dos chamados encaminhados ao canal de whastapp 4837214228, na página https://gestaoambiental.ufsc.br/gestao-das-aguas/monitoramento-do-consumo-de-agua/.
Foi criado um grupo no chat.ufsc.br com os principais atores para a gestão das água na UFSC, com servidores da PU e DGA, de forma a possibilitar tratativas rápidas entre os atores: https://chat.ufsc.br/group/Gestao_das_Aguas_UFSC_DGA_PU  ";Uma sugestão seria cada campi e unidade de Florianópolis disponibilizar um canal próprio de comunicação, similar ao que ocorre no campus Trindade. A DGA poderia encaminhar uma diretiva de como proceder. ;;;;;;;;;;;;;;;;
Agua;Objetivo 2: Reduzir o consumo de água da UFSC;"Meta 4 – Reduzir em 5% o consumo per capita médio diário entre 2025 e 
2029 em comparação ao consumo per capita de 2024 "; 30 ;Ação 30 - Elaborar plano de monitoramento em tempo real de consumo de água (Automatização dos medidores (telemetria));CGA;2026;Em andamento;DGA: Escopo de plano de monitoramento foi elaborado em março de 2026 pela DGA. O escopo carece de discussão interna com setores da PU para viabilidade de implantação.;Realizar discussão interna entre atores para viabilizar definir ações necessárias e redigir plano;;;;;;;;;;;;;;;;
Agua;Objetivo 2: Reduzir o consumo de água da UFSC;"Meta 4 – Reduzir em 5% o consumo per capita médio diário entre 2025 e 
2029 em comparação ao consumo per capita de 2024 "; 31 ;Ação 31 - Mapear os editais de fomento para otimizações em Gestão das Águas;SETIC ;2027;Não iniciado;Sem ações registradas;;;;;;;;;;;;;;;;;
Agua;Objetivo 2: Reduzir o consumo de água da UFSC;"Meta 4 – Reduzir em 5% o consumo per capita médio diário entre 2025 e 
2029 em comparação ao consumo per capita de 2024 "; 32 ;Ação 32 - Realizar ações de educação ambiental para uso racional da água;CGA;2029;Em andamento;DGA: Ministrado Curso de Capacitação em Sustentabilidade para Servidores em 2025 e 2026. Também foram realziadas duas postagens no intagram.;;;;;;;;;;;;;;;;;
Agua;Objetivo 2: Reduzir o consumo de água da UFSC;"Meta 4 – Reduzir em 5% o consumo per capita médio diário entre 2025 e 
2029 em comparação ao consumo per capita de 2024 "; 33 ;Ação 33 - Adequação dos abrigos de medidores da concessionária (Trindade) e CCA;PU;2026;Não iniciado;;;;;;;;;;;;;;;;;;
Agua;Objetivo 2: Reduzir o consumo de água da UFSC;"Meta 4 – Reduzir em 5% o consumo per capita médio diário entre 2025 e 
2029 em comparação ao consumo per capita de 2024 "; 34 ;Ação 34 - Elaborar plano para reuso de água de destiladores dos laboratórios e/ou para substituição de equipamentos por sistemas mais eficientes.;CGA;2029;Não iniciado;DGA: Não iniciado;;;;;;;;;;;;;;;;;
Agua;Objetivo 3 – Dar a destinação adequada para o esgoto da UFSC;Meta 5 – Encaminhar 100% do esgoto para a destinação adequada da UFSC; 35 ;Ação 35 - Levantamento da situação dos sistemas de água da chuva já implantados;DPAE;2029;Em andamento;"Foi realizado um levantamento pelo programa ""Se Liga na Rede"", por meio do qual foram identificados os pontos críticos de lançamento de esgoto na rede de drenagem pluvial. Dos 10 pontos críticos definidos, 4 foram resolvidos e 4 estão em projeto.";Pontos de difícil acesso com áreas situadas em cotas muito baixas, localizadas abaixo do nível da rede e sujeitas a alagamentos provocados pelo rio.;;;;;;;;;;;;;;;;
