;;;;;;;1º CICLO;;;;;;;;;;;;;;;;;;
EIXO;OBJETIVO;META;COD DA ACAO;AÇÃO;ENVOLVIDOS;PRAZO FINAL;Status da ação ;Detalhamento do que foi realizado - se possivel fazer uma descrição incluindo dados numéricos;Dificuldades encontradas/ Sugestões;;;;;;;;;;;;;;;;
Materias;Objetivo 7 - Reduzir o uso de papel na UFSC;Meta 9; 61 ;Ação 61 - Institucionalizar o envio de monografias, dissertações e teses às bancas examinadoras exclusivamente no formato digital. ;PROGRAD;2027;;;;;;;;;;;;;;;;;;;
Materias;Objetivo 7 - Reduzir o uso de papel na UFSC;Meta 9; 61 ;Ação 61 - Institucionalizar o envio de monografias, dissertações e teses às bancas examinadoras exclusivamente no formato digital. ;PROPG;2027;;;;;;;;;;;;;;;;;;;
Materias;Objetivo 7 - Reduzir o uso de papel na UFSC;Meta 9; 62 ;Ação 62 - Institucionalizar o uso exclusivo de diplomas digitais;GR;2027;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 7 - Reduzir o uso de papel na UFSC;Meta 9; 63 ;"Ação 63 - Buscar alternativas para os processos acadêmicos e administrativos que, com base na pesquisa realizada sobre o ""uso de papel"", ainda exigem a impressão de documentos";SGI;2027;Não iniciado;Recebimento da demanda pela equipe atual do SGI.;Houve troca de servidores no SGI sem informação sobre a demanda. Nova servidora buscou informações com CGA e aguarda mudança na Administração Central para iniciar o contato com os demais envolvidos.;;;;;;;;;;;;;;;;
Materias;Objetivo 7 - Reduzir o uso de papel na UFSC;Meta 9; 64 ;Ação 64 - Realizar ações de educação ambiental para promover a impressão consciente, reduzir o uso de papel, incentivar práticas como impressão frente e verso, uso de rascunhos, redução da fonte e custos de impressão, além de promover o uso do SPA, assinatura digital UFSC e videoconferências virtuais, com avisos próximos às impressoras.;CGA;2028;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 7 - Reduzir o uso de papel na UFSC;Meta 9; 65 ;Ação 65 - Disponibilizar aos usuários a quantidade de impressões utilizadas por setor, além de informações e mapeamento das multifuncionais na UFSC.;SETIC ;2026;Concluído;"A SeTIC disponibilizou um dashboard Criado um dashboard para isso:

https://dashboards.setic.ufsc.br/public/dashboard/90b8ced7-492e-45e0-a9d1-cc8a1e280661";;;;;;;;;;;;;;;;;
Materias;Objetivo 7 - Reduzir o uso de papel na UFSC;Meta 9; 66 ;Ação 66 - Reavaliar a necessidade de impressoras com base em levantamento técnico, visando otimizar o uso dos equipamentos, reduzir sua quantidade disponível e coibir o uso indevido.;SEPLAN;2027;Em andamento;"Questão de competência da SETIC.
Já respondida na planilha do setor - linhas 4 e 5.";Sugere-se retirar esta ação da planilha da SEPLAN.;;;;;;;;;;;;;;;;
Materias;Objetivo 7 - Reduzir o uso de papel na UFSC;Meta 9; 67 ;Ação 67 - Adquirir 70% de papel reciclado. ;DCOM;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 7 - Reduzir o uso de papel na UFSC;Meta 9; 68 ;Ação 68 - Adquirir 100% de papel com o selo Elemental Chlorine Free (ECF). ;DCOM;2026;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 7 - Reduzir o uso de papel na UFSC;Meta 9; 69 ;Ação 69 - Reavaliar as cotas de papel A4 e A3 dos setores.;DGP;2026;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 7 - Reduzir o uso de papel na UFSC;Meta 9; 70 ;Ação 70 - Criar diretriz visando a diminuição da distribuição de calendários físicos, blocos de papel e cadernos para os setores, adotando alternativas digitais como principal meio de consulta e organização.;GR;2025;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 7 - Reduzir o uso de papel na UFSC;Meta 9; 71 ;Ação 71 - Disponibilizar envelopes vai-e-vem na lista de itens do almoxarifado.;DGP;2026;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 7 - Reduzir o uso de papel na UFSC;Meta 9; 72 ;Ação 72 - Desenvolver critérios para a impressão de blocos de papel e post-its, levando em consideração a real necessidade de sua utilização e, sempre que possível, optando pelo uso de papel reutilizado.;IMPRENSA;2029;Não iniciado;;"A principal dificuldade reside no fato de que a ação pressupõe autonomia deliberativa que a Imprensa Universitária não detém, uma vez que a unidade atua exclusivamente como executora das demandas encaminhadas pelos setores solicitantes, sem interferir na natureza ou no volume do que é requisitado.

Sugere-se que o desenvolvimento dos critérios previstos nesta ação seja conduzido por uma comissão específica, preferencialmente constituída e orientada pela Reitoria, de forma que o estabelecimento e o cumprimento das diretrizes tenham o respaldo institucional necessário para alcançar todas as unidades demandantes. A Imprensa Universitária coloca-se à disposição para integrar essa comissão e contribuir com informações técnicas sobre os volumes produzidos.";;;;;;;;;;;;;;;;
Materias;Objetivo 8 - Reduzir a aquisição de materiais de expediente pela UFSC;Meta 10 - Realizar 100% das ações da meta; 73 ;Ação 73 - Revisar as listas de itens do almoxarifado, avaliando a real necessidade de cada item e assegurando que atendam aos critérios de sustentabilidade.;DGP;2027;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 8 - Reduzir a aquisição de materiais de expediente pela UFSC;Meta 10 - Realizar 100% das ações da meta; 74 ;Ação 74 -Revisar as cotas de itens de almoxarifado para os setores, garantindo adequação às necessidades reais e aos princípios de sustentabilidade;DGP;2027;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 8 - Reduzir a aquisição de materiais de expediente pela UFSC;Meta 10 - Realizar 100% das ações da meta; 75 ;Ação 75 -Operar o almoxarifado central com estoque mínimo de materiais essenciais;DGP;2027;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 8 - Reduzir a aquisição de materiais de expediente pela UFSC;Meta 10 - Realizar 100% das ações da meta; 76 ;Ação 76 - Realizar bianualmente ações de educação ambiental para reduzir o uso de materiais de expediente.;CGA;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 8 - Reduzir a aquisição de materiais de expediente pela UFSC;Meta 10 - Realizar 100% das ações da meta; 77 ;Ação 77 - Incluir no contrato de prestação de serviços de limpeza a utilização de papel toalha de qualidade superior, a obrigatoriedade de envio de relatórios periódicos e a instalação de adesivos educativos em todos os dispensers.;DPC;2027;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 8 - Reduzir a aquisição de materiais de expediente pela UFSC;Meta 10 - Realizar 100% das ações da meta; 78 ;Ação 78 - Adquirir e instalar dispensers de papel toalha com controle de quantidade e sistema de cadeado, com o objetivo de reduzir o desperdício e prevenir furtos;DCOM;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 9 - Reduzir o consumo de combustíveis fósseis pela UFSC;Meta 11- Reduzir em 10% o consumo de combustíveis fósseis no período de 2025 a 2029; 79 ;Ação 79- Desenvolver mecanismos para otimizar viagens e deslocamentos entre os campi com veículos oficiais, por meio do compartilhamento de trajetos, definição de regras de demanda, implantação de sistema de roteirização eletrônica, controle de rotas e implementação de sistemas automatizados de controle.;CTR;2029;Não iniciado;Em atendimento a solicitação, informamos que todos os processos deverão ser implatandos a partir do período de 2027 baseado em um plano para as atividades da gestão 2026-2030;Processo em andamento juntamente com a Setic ;;;;;;;;;;;;;;;;
Materias;Objetivo 9 - Reduzir o consumo de combustíveis fósseis pela UFSC;Meta 11- Reduzir em 10% o consumo de combustíveis fósseis no período de 2025 a 2029; 80 ;Ação 80 - Realizar anualmente ações de educação ambiental para incentivar a realizaçao de conferências on-line.;CGA;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 9 - Reduzir o consumo de combustíveis fósseis pela UFSC;Meta 11- Reduzir em 10% o consumo de combustíveis fósseis no período de 2025 a 2029; 81 ;Ação 81- Estudar a viabilidade da implantação do TAXI.gov ou de outro sistema de transporte sob demanda, visando otimizar a mobilidade e reduzir custos.;CTR;2029;Não iniciado;Em atendimento a solicitação, informamos que iremos criar um novo modelo de gestão de frota visando a otimização dos veículos e redução do connsumo ;Vamos estudar outro tipo de sistema de locação de veículos ;;;;;;;;;;;;;;;;
Materias;Objetivo 9 - Reduzir o consumo de combustíveis fósseis pela UFSC;Meta 11- Reduzir em 10% o consumo de combustíveis fósseis no período de 2025 a 2029; 82 ;"Ação 82- Estudar a viabilidade de substituição gradual da frota de veículos movidos a combustíveis fósseis por alternativas mais sustentáveis e menos poluentes.                                                                                              
Estudar a viabilidade da implantação do TAXI.gov ou de outro sistema de transporte sob demanda, visando otimizar a mobilidade e reduzir custos.                                                        
Desenvolver mecanismos para otimizar viagens e deslocamentos entre os campi com veículos oficiais, por meio do compartilhamento de trajetos, definição de regras de demanda, implantação de sistema de roteirização eletrônica, controle de rotas e implementação de sistemas automatizados de controle.";CTR;2029;Não iniciado;Em atendimento a solicitação, informamos que iremos criar um grupo de trabalho interno estabelecer novas formas de transporte e logística dentro das demandas da UFSC;Falta de planejamento específico e falta de recursos financeiros ;;;;;;;;;;;;;;;;
Materias;Objetivo 9 - Reduzir o consumo de combustíveis fósseis pela UFSC;Meta 11- Reduzir em 10% o consumo de combustíveis fósseis no período de 2025 a 2029; 83 ;Ação 83 - Estudar a viabilidade da instalação de pontos de recarga para carros elétricos no campus.;PU;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 9 - Reduzir o consumo de combustíveis fósseis pela UFSC;Meta 11- Reduzir em 10% o consumo de combustíveis fósseis no período de 2025 a 2029; 84 ;Ação 84 - Priorizar nas rondas de segurança o uso de veículos mais sustentáveis.;SSI;2026;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 10 - Incentivar o consumo consciente da comunidade universitária;Meta 12 - Realizar 100% das ações da meta; 85 ;Ação 85 -Realizar anualmente ações de educação ambiental para incentivar o uso do Compartilha-UFSC;DGP;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 10 - Incentivar o consumo consciente da comunidade universitária;Meta 12 - Realizar 100% das ações da meta; 86 ;Ação 86 - Realizar bianualmente ações de educação ambiental para incentivar o consumo consciente na comunidade universitária, abordando temas como reutilização de materiais, obsolescência programada, moda sustentável, entre outros.;CGA;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 10 - Incentivar o consumo consciente da comunidade universitária;Meta 12 - Realizar 100% das ações da meta; 87 ;Ação 87 - Instituir um programa de prevenção ao desperdício de alimentos nos Restaurantes Universitários (RUs);RU;2026;Não iniciado;"Início do monitoramento dos restos de alimentos desperdiçados pelos usuários do Refeitório através de pesagem dos alimentos despejados em lixeiras durante a distribuição do Almoço em parceria com a CGA. Estes dados tem sido divulgados à Comunidade universitária através das páginas de Instagram UFSC sustentável e RU360 UFSC. Concomitantemente, iniciaram campanhas educativas, divulgadas também através do Instagram com vistas a propiciar melhor separação dos resíduos do Refeitório e redução do desperdício de alimentos por usuários. O monitoramento foi interrompido por alguns meses no início de 2026, porém já foi retomado.

Média de restos de alimentos referente ao mês de Setembro/2025 - 156kg/dia;

Média de restos de alimentos referente ao mês de Outubro/2025 - 136,4kg/dia;

Média de restos de alimentos referente ao mês de Novembro/2025 - 148,8kg/dia;

Média de restos de alimentos referente ao mês de Junho/2025 - 153kg/dia.

Houve dificuldade no início da implementação por falta de Bolsista encarregado da pesagem de resíduos. Esta questão já foi resolvida, possibilitando o retorno da pesagem a partir de junho de 2026.

Como continuidade das ações, seguirá o estudo e planejamento de monitoramento de resíduos no Jantar e no setor de Produção de alimentos.
";;;;;;;;;;;;;;;;;
Materias;Objetivo 11 - Incentivar o uso eficiente de dados móveis/telefone;Meta 13 - Realizar 100% das ações da meta; 88 ;Ação 88 - Realizar estudo para otimizar a utilização de sistemas VoIP nos setores. ;SETIC ;2027;Em andamento;Estamos desenvolvendo uma visão integrada que permitirá aos usuários verem quais telefones estão sem uso nos centros, permitindo uma ação distribuída (sem depender da SeTIC) de realocação de equipamentos.;;;;;;;;;;;;;;;;;
Materias;Objetivo 11 - Incentivar o uso eficiente de dados móveis/telefone;Meta 13 - Realizar 100% das ações da meta;;Ação 89 - Mapear todos os espaços da UFSC e cadastrar no Sief;Precisa retirar do PLS;;;;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta; 90 ;Ação 90 - Mapear todos os espaços da UFSC e cadastrar no Sief;COEFI;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta; 91 ;Ação 91 - Publicação de Politica de uso e ocupação dos espaços (Iinternos e externos) com apliação de acessibilidade para pessoas com deficiência ou com mobilidade reduzida;COEFI;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta; 92 ;Ação 92 - Definição do uso e ocupação do Centro de Convivência da UFSC.;COEFI;2029;Não iniciado;;Dificuldades Encontradas: Assimetria de Rotinas entre Graduação e Pós-Graduação, Preocupação com a Sobrecarga de Trabalho e Dificuldades na Uniformização de Entendimentos. Sugestões: Criação de Comitê de Governança Participativa, Investimento em Treinamento e Nivelamento. ;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta; 93 ;Ação 93 - Estudo de viabilidade para implementação de secretarias integradas nos Centros da UFSC;CCA;2029;Em andamento;Efetuamos de alinhamento e diagnóstico, estudo de dimensionamento de pessoal e benchmarking institucional.;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta;;Ação 93 - Estudo de viabilidade para implementação de secretarias integradas nos Centros da UFSC;CCB;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta;;Ação 93 - Estudo de viabilidade para implementação de secretarias integradas nos Centros da UFSC;CFH;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta;;Ação 93 - Estudo de viabilidade para implementação de secretarias integradas nos Centros da UFSC;ARA;2029;Não iniciado;;O Campus de Blumenau foi criado há 12 anos, e até o momento não teve a pactuação com o MEC cumprida no que se refere a quantitativo de vagas de TAEs. É necessário ampliar o quadro das secretarias integradas para garntir o pleno atendimento das demandas.;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta;;Ação 93 - Estudo de viabilidade para implementação de secretarias integradas nos Centros da UFSC;BLN;2029;Concluído;"Todas as Secretarias do Campus de Blumenau são integradas, a saber:

1) Secretaria de Pós-Graduação: conta com 3 (três) servidores, e atende 4 (quatro) programas de pós-graduação. Faz toda a parte de atendimento discente, atendimento docente, expediente administrativo dos programas e secretaria as reuniões dos colegiados.

2) Secretaria dos Colegiados de Curso: conta com 3 (três) servidores e atende 6 (seis) cursos de graduação, fazendo a parte de secretariar as reuniões dos seis colegiados de curso e os seis NDEs, bem como, expediente administrativo relacionado com alterações curriculares, expdição de diplomas.

3) Secretaria Acadêmica dos Cursos: conta com 4 (quatro) servidores e atende 6 (seis) cursos de graduação, fazendo a parte de balcão de atendimento dos alunos do campus, na parte de matrículas, emissão de documentos, além de cuidar do expediente administrativo dos estágios dos seis cursos de graduação.";Não houve.;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta;;Ação 93 - Estudo de viabilidade para implementação de secretarias integradas nos Centros da UFSC;CBN;2029;Concluído;O Campus de Curitibanos, desde sua fundação em 2009, já foi estruturado para funcionar com secretarias integradas. A partir de 2021, com a estruturação de setores por meio de Funções Gratificadas, as secretarias foram formalmente aglutinadas em: Serviço de Expediente dos Cursos de Graduação, Serviço de Expediente dos Cursos de Pós-Graduação e Serviço de Expediente Integrado dos Departamentos - ambos os setores funcionando em um mesmo espaço físico na sala CC1T12 - Térreo do prédio CBS01.;"A principal dificuldade identificada refere-se à resistência de parte dos servidores envolvidos, motivada por preocupações relacionadas ao aumento da carga de trabalho, mudanças na rotina de atividades e necessidade de adaptação a novos fluxos de trabalho.

Outro desafio relevante é o déficit de pessoal técnico-administrativo, uma vez que algumas coordenadorias contam atualmente com quantitativo de servidores inferior ao necessário para a execução adequada das atividades, havendo casos em que o número de servidores é inferior a um servidor por setor. Esse cenário pode impactar a implantação e a sustentabilidade do modelo de secretarias integradas.

Como sugestão, recomenda-se a continuidade das ações de sensibilização e esclarecimento junto às equipes, bem como a avaliação de medidas para recomposição ou otimização da força de trabalho, de forma a garantir condições adequadas para a implementação e consolidação do projeto.";;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta;;Ação 93 - Estudo de viabilidade para implementação de secretarias integradas nos Centros da UFSC;CCE;2029;Em andamento;"Foram realizadas quatro reuniões de trabalho com as Coordenadorias de Pós-Graduação do Centro de Comunicação e Expressão (CCE), envolvendo coordenadores e servidores técnico-administrativos, com o objetivo de discutir a viabilidade e o modelo de implantação de secretarias integradas.

Como parte do processo de planejamento, foi realizada uma visita técnica ao Centro de Ciências Biológicas (CCB), unidade que já adotou o modelo de secretarias integradas, possibilitando a realização de benchmarking, troca de experiências e identificação de boas práticas aplicáveis ao contexto do CCE.

Também foram conduzidos levantamentos e pesquisas para elaboração de uma análise SWOT, visando identificar forças, fraquezas, oportunidades e ameaças relacionadas à implementação da iniciativa, subsidiando a definição de estratégias e ações para sua execução.

Atualmente, encontra-se em andamento o levantamento de dados das coordenadorias, incluindo informações sobre quantitativo de estudantes, formas de ingresso, número de docentes credenciados e demais indicadores operacionais, com o objetivo de dimensionar adequadamente a estrutura necessária para o funcionamento das secretarias integradas.

Paralelamente, está sendo realizada a reorganização e adequação de espaço físico para viabilizar uma fase piloto da iniciativa, com previsão de início no próximo semestre, contemplando inicialmente três secretarias de pós-graduação.";"Como o CTC possui 10 departamentos, 15 cursos de graduação e 13 programas de pós-graduação, a unificação em um único ambiente é, atualmente, inviável.

As unificações departamentais representam a alternativa mais adequada até o momento, pois consideram a distribuição espacial do centro e acessibilidade aos alunos.";;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta;;Ação 93 - Estudo de viabilidade para implementação de secretarias integradas nos Centros da UFSC;CTC;2029;Não iniciado;"Os departamentos de Engenharia Sanitária e Ambiental e Engenharia Mecânica iniciaram implantação experimental de secretarias compartilhadas entre Departamento, Graduação e Pós-graduação.

O departamento de Arquitetura e Urbanismo, por sua vez, já atua de forma completamente unificada e serve como referência inicial para os departamentos ENS e EMC.

Uma iniciativa centralizada do CTC ainda não foi realizada, pois está em estágio de planejamento inicial utilizando como base os diálogos com os departamentos supracitados.

Como se trata de uma iniciativa departamental, ainda não há mudança do status de implementação por parte do CTC.";;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta;;Ação 93 - Estudo de viabilidade para implementação de secretarias integradas nos Centros da UFSC;CCS;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta;;Ação 93 - Estudo de viabilidade para implementação de secretarias integradas nos Centros da UFSC;CCJ;2029;Não iniciado;;No momento estamos planejando a integração da secretaria de pós-graduação junto às secretarias das demais coordenadorias.;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta;;Ação 93 - Estudo de viabilidade para implementação de secretarias integradas nos Centros da UFSC;CDS;2029;Em andamento;O CDS conta com apenas um departamento, uma coordenadoria de curso de graduação e outra de pós-graduação, a Coordenadoria de Educação Física Curricular e a Coordenadoria de Esportes e Atividades Físicas para a Comunidade. Neste período, foi organizado um espaço integrado de atendimento para as secretarias destas coordenadorias, com exceção da coordenadoria de pós-graduação. Foram feitas pequenas adequações em três salas que assim passaram a abrigar quatro setores, otimizando o uso destes espaços e permitindo a prestação de atendimento integrado aos usuários.;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta;;Ação 93 - Estudo de viabilidade para implementação de secretarias integradas nos Centros da UFSC;CED;2029;Em andamento;"Há no CED integração das Secretarias dos cursos de graduação do CIN (Ciência de Dados, Arquivologia, Biblioteconomia e Ciência da Informação) por meio de um acordo de funcionamento conjunto, em caráter experimental, não caracterizando reorganização administrativa formal.

Além dessa iniciativa, as Secretarias das Coordenações de Pedagogia e Educação também possuem um protocolo experimental de atuação integrada, com compartilhamento de procedimentos e acesso mútuo aos sistemas administrativos (SPAs e CAGRs).";A dificuldade encontrada para a integração das secretarias foi o reduzido número de servidores disponíveis. No entanto, com a flexibilização conseguimos integrar algumas secretarias para ampliar o horário de atendimento aos usuários.;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta;;Ação 93 - Estudo de viabilidade para implementação de secretarias integradas nos Centros da UFSC;CFM;2029;Concluído;A direção do CFM visitou outros centros, com secretarias integradas, a fim de verificar como funcionam tais secretarias para uma posterior implementação de integração no CFM.;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta;;Ação 93 - Estudo de viabilidade para implementação de secretarias integradas nos Centros da UFSC;CSE;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta;;Ação 93 - Estudo de viabilidade para implementação de secretarias integradas nos Centros da UFSC;JOI;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta; 94 ;Ação 94 - Destinar o volume de material em desuso que estão ocupando salas e garantir sua correta destinação.;DGP;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 12. Promover e otimizar a ocupação racional dos espaços da UFSC;Meta 14 - Realizar 100% das ações da meta; 95 ;Ação 95 - Incluir em todo novo contrato de concessão de espaços de lanchonetes, áreas de coworking associadas, sempre que o espaço fisico permitir.;PROAD;2029;Não iniciado;;Há insuficiência de pessoal para realizar o levantamento das necessidades de acessibilidade nas edificações. Além disso, muitas das adequações necessárias são de pequeno porte e não justificam a realização de processo licitatório. Nesses casos, a execução das intervenções fica a cargo do DME, que nem sempre dispõe de capacidade operacional para realizá-las.;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 13. Promover maior acessibilidade das pessoas com deficiência ou mobilidade reduzida nas edificações;Meta 15 - Realizar 100% das ações da meta; 96 ;Ação 96 - Realizar uma avaliação completa de acessibilidade em todos os espaços edificados.;DPAE;2029;Em andamento;Os projetos de novas edificações, como o do CFM, são desenvolvidos em conformidade com as normas vigentes de acessibilidade. A Divisão de Projetos de Reforma e Adequação a Acessibilidade (DIPRAA) elaborou entre 2025 e 2026, 14 projetos pontuais para acessibilidade, sendo a maior parte deles já executada.;A ausência de orçamento previamente definido dificulta a delimitação do escopo da demanda.;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 13. Promover maior acessibilidade das pessoas com deficiência ou mobilidade reduzida nas edificações;Meta 15 - Realizar 100% das ações da meta; 97 ;Ação 97 - Ampliar em 100% as rotas acessíveis.;DPAE;2029;Em andamento;Está sendo elaborado relatório técnico contendo alternativas de trajetos para a implantação do projeto Rotas Acessíveis 2, bem como uma Avaliação Pós-Ocupação (APO) do projeto Rotas Acessíveis 1.;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 13. Promover maior acessibilidade das pessoas com deficiência ou mobilidade reduzida nas edificações;Meta 15 - Realizar 100% das ações da meta; 98 ;Ação 98 - Instalação de elevadores nas edificações que não possuem acessibilidade vertical, um por ano.;PU;2029;Não iniciado;;Sugere-se retirar esta ação da planilha da SEPLAN - questão de competência do GR. A criação de políticas fica a cargo do Gabinete da Reitoria.;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 13. Promover maior acessibilidade das pessoas com deficiência ou mobilidade reduzida nas edificações;Meta 15 - Realizar 100% das ações da meta; 99 ;Ação 99 - Adequação de ao menos 3 auditórios de acordo com as normas de acessibilidade. ;PU;2029;;;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 13. Promover maior acessibilidade das pessoas com deficiência ou mobilidade reduzida nas edificações;Meta 15 - Realizar 100% das ações da meta; 100 ;Ação 100 - Ampliação do número de vagas especiais (PCD) de estacionamento de veículos. ;PU;2029;;;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 14. Reduzir emissões de CO?;Meta 16 - Reduzir 5% ao ano da emissões de CO? com a frota própria e com viagens aéreas no período de 2025 a 2029.; 101 ;Ação 101 - Criar política de racionalização de viagens aéreas na UFSC;SEPLAN;2029;Em andamento;"Os gastos com diárias e passagens na UFSC em 2024 eram de aproximadamente
R$3.889.055,86. No intuito de reduzir essa despesa a partir de 2025, adotou-se a
política de reduzir em 50% os valores repassados para as unidades nesta rubrica,
além de condicionar a viagem de gestores ao pagamento de somente 50% das
diárias solicitadas. Esta ação permitiu economizar, em 2025, R$1.991.831,32.";Escassez de recursos e falta de mão de obra específica ;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 14. Reduzir emissões de CO?;Meta 16 - Reduzir 5% ao ano da emissões de CO? com a frota própria e com viagens aéreas no período de 2025 a 2029.; 102 ;Ação 102 - Reduzir o nº de viagens rodoviárias, otimizando o uso da frota própria através de sistema automatizado de agendamento a ser implantado e de regras para o atendimento da demanda e das prioridades;CTR;2029;Não iniciado;Em atendimento a solicitação, informamos que iremos criar um grupo de trabalho interno para revisar os itens a serem reduzidos dentro dos novos períodos pré-estabelecidos. ;Tem ocorrido dificuldades em conseguir as informacoes dos veiculos da UFSC, em 2025 nao enviaram os dados e nem responderam;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 14. Reduzir emissões de CO?;Meta 16 - Reduzir 5% ao ano da emissões de CO? com a frota própria e com viagens aéreas no período de 2025 a 2029.; 103 ;Ação 103 - Estudo de viabilidade para modernização do setor de transportes ;PU;2029;;;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 14. Reduzir emissões de CO?;Meta 16 - Reduzir 5% ao ano da emissões de CO? com a frota própria e com viagens aéreas no período de 2025 a 2029.; 104 ;Ação 104 - Divulgar anualmente o inventário de emissão de CO²;CGA;2029;Em andamento;É uma atividade realizada anualmente;A implantação de novos bicicletários ou a adequação dos existentes está condicionada à execução de novas edificações ou de obras de reforma.;;;;;;;;;;;;;;;;
